state	account length	area code	phone number	international plan	voice mail plan	number vmail messages	total day minutes	total day calls	total day charge	total eve minutes	total eve calls	total eve charge	total night minutes	total night calls	total night charge	total intl minutes	total intl calls	total intl charge	number customer service calls	target
16	128.0	415.0	2845	0	1	25.0	265.1	110.0	45.07	197.4	99.0	16.78	244.7	91.0	11.01	10.0	3.0	2.7	1.0	0
35	107.0	415.0	2301	0	1	26.0	161.6	123.0	27.47	195.5	103.0	16.62	254.4	103.0	11.45	13.7	3.0	3.7	1.0	0
31	137.0	415.0	1616	0	0	0.0	243.4	114.0	41.38	121.2	110.0	10.3	162.6	104.0	7.32	12.2	5.0	3.29	0.0	0
35	84.0	408.0	2510	1	0	0.0	299.4	71.0	50.9	61.9	88.0	5.26	196.9	89.0	8.86	6.6	7.0	1.78	2.0	0
36	75.0	415.0	155	1	0	0.0	166.7	113.0	28.34	148.3	122.0	12.61	186.9	121.0	8.41	10.1	3.0	2.73	3.0	0
1	118.0	510.0	3355	1	0	0.0	223.4	98.0	37.98	220.6	101.0	18.75	203.9	118.0	9.18	6.3	6.0	1.7	0.0	0
19	121.0	510.0	1516	0	1	24.0	218.2	88.0	37.09	348.5	108.0	29.62	212.6	118.0	9.57	7.5	7.0	2.03	3.0	0
24	147.0	415.0	116	1	0	0.0	157.0	79.0	26.69	103.1	94.0	8.76	211.8	96.0	9.53	7.1	6.0	1.92	0.0	0
18	117.0	408.0	425	0	0	0.0	184.5	97.0	31.37	351.6	80.0	29.89	215.8	90.0	9.71	8.7	4.0	2.35	1.0	0
49	141.0	415.0	163	1	1	37.0	258.6	84.0	43.96	222.0	111.0	18.87	326.4	97.0	14.69	11.2	5.0	3.02	0.0	0
15	65.0	415.0	100	0	0	0.0	129.1	137.0	21.95	228.5	83.0	19.42	208.8	111.0	9.4	12.7	6.0	3.43	4.0	1
39	74.0	415.0	916	0	0	0.0	187.7	127.0	31.91	163.4	148.0	13.89	196.0	94.0	8.82	9.1	5.0	2.46	0.0	0
12	168.0	408.0	1854	0	0	0.0	128.8	96.0	21.9	104.9	71.0	8.92	141.1	128.0	6.35	11.2	2.0	3.02	1.0	0
26	95.0	510.0	3509	0	0	0.0	156.6	88.0	26.62	247.6	75.0	21.05	192.3	115.0	8.65	12.3	5.0	3.32	3.0	0
12	62.0	415.0	2065	0	0	0.0	120.7	70.0	20.52	307.2	76.0	26.11	203.0	99.0	9.14	13.1	6.0	3.54	4.0	0
